#公会冒险列表,,,,,,,
#编号,名称,描述,步骤,奖励,金币奖励,最低票数,资源
#!id,name,desc,step_list,bonus,bonus_gold,vote_count,resource
#@int,string,string,string,string,int,int,string
1,露娜的烦恼,阿曼达曾经许诺过：放满100头羊就请吃烤羊腿，所以……,1|2|3|4,1:0:3000:10000,20000,3,Images/QuestBackground/风1
2,探索草原,你对这个世界发生了浓厚的兴趣，想去探险下。,5|6|7|8,1:0:3000:10000,20000,3,Images/QuestBackground/风1
#1,灼热魔界,描述,1|2|3|4|5|6|7|8|9,1:0:100:10000|4:1001:1:10000|2:0:10:10000,11000,1,
#2,绚烂魔界,描述书,9|4|5|6|7,1:0:110:10000|4:3001:1:10000|2:0:10:10000,12000,2,Images/QuestBackground/风1
#3,兔兔魔界,描述叔叔,1|3|4|5|6|7,1:0:110:10000|4:3001:1:10000|2:0:10:10000,13000,3,Images/QuestBackground/风1
#4,毒沼魔界,描述书书书,2|4|3|8,1:0:110:10000|4:3001:1:10000|2:0:10:10000,14000,4,Images/QuestBackground/风1
#5,爆寒魔界,描述书书书书,1,1:0:110:10000|4:3001:1:10000|2:0:10:10000,15000,5,Images/QuestBackground/风1
#6,骤雨魔界,描述,1|3|4|5|6|7|8|9,1:0:110:10000|4:3001:1:10000|2:0:10:10000,16000,6,Images/QuestBackground/风1
#7,染血魔界,描述书,1|3|4|5|6|7|8|9|2,1:0:110:10000|4:3001:1:10000|2:0:10:10000,17000,7,Images/QuestBackground/风1
#8,光云魔界,描述叔叔,1|3|4|5|6|7|8|9|2|3,1:0:110:10000|4:3001:1:10000|2:0:10:10000,18000,8,Images/QuestBackground/风1
#9,雨林魔界,描述书书书,1|2|3|4|5|6|7|8|9|2|3|1,1:0:110:10000|4:3001:1:10000|2:0:10:10000,19000,9,Images/QuestBackground/风1
#10,里魔界一层,描述书书书,1|2|3|4|5|6|7|8|9|2|3|2,1:0:110:10000|4:3001:1:10000|2:0:10:10000,20000,10,Images/QuestBackground/风1
#11,里魔界二层,描述书书书,1|2|3|4|5|6|7|8|9|2|3|3,1:0:110:10000|4:3001:1:10000|2:0:10:10000,21000,11,Images/QuestBackground/风1
#12,里魔界三层,描述书书书,1|2|3|4|5|6|7|8|9|2|3|4,1:0:110:10000|4:3001:1:10000|2:0:10:10000,22000,12,Images/QuestBackground/风1
#13,里魔界四层,描述书书书,1|2|3|4|5|6|7|8|9|2|3|4,1:0:110:10000|4:3001:1:10000|2:0:10:10000,23000,13,Images/QuestBackground/风1
#14,里魔界五层,描述书书书,1|2|3|4|5|6|7|8|9|2|3|6,1:0:110:10000|4:3001:1:10000|2:0:10:10000,24000,14,Images/QuestBackground/风1
#15,里魔界六层,描述书书书,1|2|3|4|5|6|7|8|9|2|3|7,1:0:110:10000|4:3001:1:10000|2:0:10:10000,25000,15,Images/QuestBackground/风1
#16,里魔界七层,描述书书书,1|2|3|4|5|6|7|8|9|2|3|8,1:0:110:10000|4:3002:1:10000,26000,16,Images/QuestBackground/风1
